region;absolute;foreigners;invalid;youth;adult;old;longterms;percent
Deutschland;2896985;474283;176040;46693;274035;544484;1031722;7,6
  Schleswig-Holstein;100048;10751;5204;2188;10752;17374;33452;7,7
      Flensburg, Kreisfreie Stadt;5127;506;277;122;640;691;1637;12,5
      Kiel, Landeshauptstadt, Kreisfreie Stadt;12732;2037;485;232;1118;1761;4637;11,3
      Lübeck, Hansestadt, Kreisfreie Stadt;11009;1624;536;227;1152;1566;4304;11,6
      Neumünster, Kreisfreie Stadt;4376;616;177;121;561;597;1599;12,4
      Dithmarschen, Landkreis;5217;283;233;172;710;807;1358;9
      Herzogtum Lauenburg, Landkreis;6059;752;364;154;706;1048;2153;7
      Nordfriesland, Landkreis;5951;333;240;99;584;1184;1755;7,7
      Ostholstein, Landkreis;6439;421;363;136;678;1270;1944;7,3
      Pinneberg, Landkreis;8721;1553;439;176;861;1532;2637;6,2
      Plön, Landkreis;3613;208;184;71;376;770;1278;6,4
      Rendsburg-Eckernförde, Landkreis;7357;462;443;162;822;1460;2153;6,2
      Schleswig-Flensburg, Landkreis;7865;430;588;196;923;1442;3440;8,8
      Segeberg, Landkreis;6716;658;391;118;672;1450;1927;5,4
      Steinburg, Landkreis;3983;270;170;106;484;749;1114;6,6
      Stormarn, Landkreis;4882;600;315;98;467;1046;1517;4,6
  Hamburg;70435;17524;3512;959;5213;10170;21551;8,6
  Niedersachsen;264533;36197;13160;4681;26343;46910;93119;7,3
    Braunschweig, Stat. Region;55555;6676;2443;891;4906;10016;19136;.
      Braunschweig, Kreisfreie Stadt;9566;1531;489;116;653;1623;3586;8,2
      Salzgitter, Kreisfreie Stadt;4403;746;230;64;361;753;1520;9,8
      Wolfsburg, Kreisfreie Stadt;3225;608;133;46;323;538;1038;5,7
      Gifhorn, Landkreis;4816;537;220;112;541;882;1669;5,9
      Göttingen, Landkreis;7723;910;314;130;638;1354;1854;6,7
      Goslar, Landkreis;6128;537;281;79;489;1180;2330;10,1
      Helmstedt, Landkreis;3484;312;168;54;356;610;1449;8,3
      Northeim, Landkreis;4936;450;249;81;491;932;1718;7,8
      Osterode am Harz, Landkreis;3322;306;104;79;313;565;1363;9,7
      Peine, Landkreis;4113;365;190;67;399;803;1189;6,7
      Wolfenbüttel, Landkreis;3841;376;198;64;342;777;1419;7
    Hannover, Stat. Region;81978;15595;3811;1499;8137;13987;31990;.
      Region Hannover, Landkreis;47531;11376;2285;841;4438;7747;19681;9,1
      Hannover, Landeshauptstadt;.;.;.;.;.;.;.;.
      Diepholz, Landkreis;5043;509;200;103;592;901;1354;5
      Hameln-Pyrmont, Landkreis;6075;926;336;121;659;1060;2284;8,9
      Hildesheim, Landkreis;10768;1300;459;183;1043;1849;4364;8,4
      Holzminden, Landkreis;2916;261;134;45;283;529;975;9,1
      Nienburg (Weser), Landkreis;3739;402;185;79;439;746;1146;6,6
      Schaumburg, Landkreis;5907;822;212;126;683;1155;2187;8,3
    Lüneburg, Stat. Region;52046;5262;2347;982;5538;9603;17486;.
      Celle, Landkreis;6700;774;262;149;767;1227;2606;8,5
      Cuxhaven, Landkreis;6018;590;296;118;635;1254;2049;6,8
      Harburg, Landkreis;6164;750;267;108;618;1320;2029;5,4
      Lüchow-Dannenberg, Landkreis;2312;130;100;44;243;378;832;11,9
      Lüneburg, Landkreis;5854;536;224;122;610;940;1676;7,2
      Osterholz, Landkreis;2431;290;106;44;245;473;628;4,7
      Rotenburg (Wümme), Landkreis;3775;309;174;55;401;684;1163;4,9
      Heidekreis, Landkreis;4902;470;247;120;622;776;1522;7,5
      Stade, Landkreis;6674;637;332;143;755;1222;2502;7,1
      Uelzen, Landkreis;3255;213;168;49;360;548;894;8
      Verden, Landkreis;3963;562;173;29;283;781;1587;6,2
    Weser-Ems, Stat. Region;74954;8664;4427;1310;7762;13304;24507;.
      Delmenhorst, Kreisfreie Stadt;4228;863;185;84;440;640;1735;12,1
      Emden, Kreisfreie Stadt;2179;164;138;53;248;349;840;9,4
      Oldenburg (Oldenburg), Kreisfreie Stadt;7126;985;435;144;756;1080;2709;9,2
      Osnabrück, Kreisfreie Stadt;6442;1410;402;91;577;1052;2320;8,6
      Wilhelmshaven, Kreisfreie Stadt;4592;413;299;66;385;744;2037;13,6
      Ammerland, Landkreis;2813;227;177;25;245;560;743;5,1
      Aurich, Landkreis;7391;390;373;137;752;1326;2626;8,7
      Cloppenburg, Landkreis;4489;475;325;91;529;839;1348;6
      Emsland, Landkreis;5835;488;367;100;681;1135;1324;3,9
      Friesland, Landkreis;3132;215;174;44;293;572;979;7,2
      Grafschaft Bentheim, Landkreis;3159;543;144;46;296;663;1087;5
      Leer, Landkreis;5212;352;305;112;648;842;1753;7
      Oldenburg, Landkreis;2860;281;160;63;289;506;594;4,8
      Osnabrück, Landkreis;7327;816;503;76;642;1594;1787;4,2
      Vechta, Landkreis;2948;609;142;65;378;524;733;4,2
      Wesermarsch, Landkreis;3321;353;193;82;401;524;1434;8,2
      Wittmund, Landkreis;1901;79;106;30;202;356;458;7,8
  Bremen;36826;8238;1578;536;3369;5238;16176;12,3
      Bremen, Kreisfreie Stadt;28521;6928;1189;387;2532;4027;12611;11,5
      Bremerhaven, Kreisfreie Stadt;8305;1310;389;149;837;1211;3565;16,4
  Nordrhein-Westfalen;733276;157574;46099;11924;71241;122545;305727;8,9
    Düsseldorf, Regierungsbezirk;240317;56292;14275;3754;21893;39616;103608;.
      Düsseldorf, Kreisfreie Stadt;27245;8424;1644;282;1655;4477;12215;9,8
      Duisburg, Kreisfreie Stadt;31228;8601;1935;494;2943;4567;14406;14,2
      Essen, Kreisfreie Stadt;35641;8116;1539;508;3270;5672;16120;13,8
      Krefeld, Kreisfreie Stadt;12084;2364;770;142;924;2076;5197;11,8
      Mönchengladbach, Kreisfreie Stadt;14640;2920;893;347;1634;2156;5449;12,4
      Mülheim an der Ruhr, Kreisfreie Stadt;6499;1877;331;25;268;1394;3351;8,6
      Oberhausen, Kreisfreie Stadt;12540;2918;823;205;1204;2020;6517;13
      Remscheid, Kreisfreie Stadt;5206;1401;305;82;510;855;2262;9,9
      Solingen, Kreisfreie Stadt;6842;1883;402;131;733;1141;2926;9,3
      Wuppertal, Kreisfreie Stadt;20767;5672;1063;443;2186;2752;8538;13,2
      Kleve, Kreis;9220;1287;598;160;1056;1782;3168;6,6
      Mettmann, Kreis;17151;3916;940;247;1483;3116;7467;7,6
      Rhein-Kreis Neuss;13585;2823;948;198;1186;2655;5201;6,6
      Viersen, Kreis;11036;1596;797;231;1172;2059;4283;7,9
      Wesel, Kreis;16634;2495;1285;259;1669;2895;6508;7,8
    Köln, Regierungsbezirk;168642;38864;10234;2890;16425;27712;69432;.
      Bonn, Kreisfreie Stadt;10729;2659;695;167;907;1617;4378;7,5
      Köln, Kreisfreie Stadt;50173;15831;2788;639;3713;7215;22127;10,5
      Leverkusen, Kreisfreie Stadt;6495;1621;413;134;803;1051;2333;8,9
      Städteregion Aachen (einschl. Stadt Aachen);24114;5407;1489;429;2345;3884;10251;9,5
      Aachen, krfr. Stadt;.;.;.;.;.;.;.;.
      Aachen, Kreis;-;-;-;-;-;-;-;-
      Düren, Kreis;10247;1608;569;263;1251;1457;3953;8,4
      Rhein-Erft-Kreis;17623;3759;1135;313;1848;3187;7590;8,3
      Euskirchen, Kreis;6053;633;377;121;726;1177;2189;6,8
      Heinsberg, Kreis;9266;1200;530;233;1161;1567;3561;8
      Oberbergischer Kreis;8590;1328;634;147;938;1798;3396;6,6
      Rheinisch-Bergischer Kreis;8733;1644;588;113;803;1836;3798;6,9
      Rhein-Sieg-Kreis;16619;3176;1015;331;1931;2923;5857;6,2
    Münster, Regierungsbezirk;96097;17413;5113;1723;10310;15894;38970;.
      Bottrop, Kreisfreie Stadt;5122;958;276;95;603;777;2113;9,6
      Gelsenkirchen, Kreisfreie Stadt;17738;4195;1047;333;1767;2480;8308;15,9
      Münster, Kreisfreie Stadt;9113;1588;503;145;861;1354;3162;6,6
      Borken, Kreis;8270;1062;568;130;933;1592;2963;4,6
      Coesfeld, Kreis;3542;333;184;72;466;733;634;3,4
      Recklinghausen, Kreis;33721;6071;1248;576;3414;5641;15982;11,9
      Steinfurt, Kreis;10566;1695;739;232;1391;1829;2772;4,9
      Warendorf, Kreis;8025;1511;548;141;874;1488;3037;6,1
    Detmold, Regierungsbezirk;68673;12254;3596;1095;7565;12004;25194;.
      Bielefeld, Kreisfreie Stadt;14996;4250;655;261;1564;2167;5872;10,2
      Gütersloh, Kreis;9236;1919;503;134;1061;1574;2878;5,4
      Herford, Kreis;8009;1340;418;127;893;1531;2901;6,8
      Höxter, Kreis;3917;295;280;55;457;853;1246;5,9
      Lippe, Kreis;13335;1939;652;192;1490;2467;5281;8,3
      Minden-Lübbecke, Kreis;9260;1132;394;161;1046;1648;3130;6,3
      Paderborn, Kreis;9921;1378;695;163;1054;1765;3885;6,9
    Arnsberg, Regierungsbezirk;159547;32751;12881;2462;15048;27320;68523;.
      Bochum, Kreisfreie Stadt;18082;3482;1502;247;1570;2764;7768;10,9
      Dortmund, Kreisfreie Stadt;37470;9461;3096;644;3572;5889;17268;14,4
      Hagen, Kreisfreie Stadt;9656;2655;763;182;1029;1427;4072;11,2
      Hamm, Kreisfreie Stadt;9433;2182;784;167;838;1877;5481;11,7
      Herne, Kreisfreie Stadt;10038;2371;738;155;922;1416;4611;14,5
      Ennepe-Ruhr-Kreis;12292;2087;962;124;932;2424;4736;8
      Hochsauerlandkreis;7052;952;465;98;710;1354;2558;5,4
      Märkischer Kreis;14970;3072;1230;198;1408;2801;5567;7,4
      Olpe, Kreis;3306;602;272;50;374;559;1159;4,8
      Siegen-Wittgenstein, Kreis;8311;1321;649;183;1006;1641;3076;6,1
      Soest, Kreis;9928;1386;719;142;947;1918;3915;6,9
      Unna, Kreis;19009;3182;1701;272;1740;3251;8314;10,3
  Hessen;178320;46240;13036;3302;17463;32350;61157;6,4
    Darmstadt, Regierungsbezirk;112447;35853;7179;2061;10250;19529;38174;.
      Darmstadt, Kreisfreie Stadt;4540;1431;235;104;464;676;1559;6,7
      Frankfurt am Main, Kreisfreie Stadt;25724;10281;1668;414;2070;4152;8703;8,3
      Offenbach am Main, Kreisfreie Stadt;6517;3144;491;118;517;1022;2099;12
      Wiesbaden, Landeshauptstadt, Kreisfreie Stadt;10288;3089;652;252;1122;1412;3348;8,1
      Bergstraße, Landkreis;6286;1398;437;54;399;1082;2522;5,1
      Darmstadt-Dieburg, Landkreis;6980;1748;400;150;716;1314;2746;5,1
      Groß-Gerau, Landkreis;7853;3059;210;143;787;1106;2759;6,5
      Hochtaunuskreis;4231;1247;226;43;304;896;1635;4,3
      Main-Kinzig-Kreis;10659;2573;795;269;1189;1842;2572;5,6
      Main-Taunus-Kreis;5136;1482;406;65;389;1075;1765;4,8
      Odenwaldkreis;2850;702;154;78;334;564;1403;4,8
      Offenbach, Landkreis;9837;3287;590;166;866;1887;2722;6,3
      Rheingau-Taunus-Kreis;4074;884;224;54;334;860;1765;6,2
      Wetteraukreis;7473;1528;692;151;761;1642;2579;4,8
    Gießen, Regierungsbezirk;30912;5623;2633;518;3328;5604;11449;.
      Gießen, Landkreis;9275;1662;911;149;953;1685;4131;7,8
      Lahn-Dill-Kreis;7746;1622;579;136;827;1520;3073;6,5
      Limburg-Weilburg, Landkreis;5079;1102;378;89;577;817;1727;6,4
      Marburg-Biedenkopf, Landkreis;6003;1020;511;92;663;960;1761;5,3
      Vogelsbergkreis;2810;218;255;53;308;623;757;5,5
    Kassel, Regierungsbezirk;34962;4764;3223;723;3886;7217;11534;.
      Kassel, Kreisfreie Stadt;9517;2226;632;214;1078;1647;3588;11
      Fulda, Landkreis;4080;484;549;76;410;901;1091;4
      Hersfeld-Rotenburg, Landkreis;3207;332;329;67;351;748;1153;5,8
      Kassel, Landkreis;5981;637;506;127;666;1356;2019;5,5
      Schwalm-Eder-Kreis;4575;449;408;85;520;967;1280;5,5
      Waldeck-Frankenberg, Landkreis;4265;411;459;90;479;916;1300;5,7
      Werra-Meißner-Kreis;3337;225;341;63;382;682;1103;7,5
  Rheinland-Pfalz;111079;17289;6571;2448;12162;21059;35172;5,9
    Koblenz, Stat. Region;40120;5231;2241;810;4219;7873;12349;.
      Koblenz, Kreisfreie Stadt;3850;736;211;76;360;666;1223;7,7
      Ahrweiler, Landkreis;2613;377;158;48;286;510;769;4,5
      Altenkirchen (Westerwald), Landkreis;3600;359;229;75;369;720;1227;5,8
      Bad Kreuznach, Landkreis;5559;852;297;130;610;1053;2071;7,6
      Birkenfeld, Landkreis;2710;190;168;52;300;552;974;7,1
      Cochem-Zell, Landkreis;1244;95;76;28;139;285;327;4,2
      Mayen-Koblenz, Landkreis;5599;613;253;123;625;1062;1557;5,6
      Neuwied, Landkreis;5490;916;336;120;620;1114;1661;6,6
      Rhein-Hunsrück-Kreis;2476;232;154;39;239;551;800;5
      Rhein-Lahn-Kreis;2713;340;136;27;195;547;693;4,7
      Westerwaldkreis;4265;522;222;92;477;813;1047;4,4
    Trier, Stat. Region;10570;1096;725;268;1332;2109;2540;.
      Trier, Kreisfreie Stadt;3027;381;173;85;380;477;733;6,1
      Bernkastel-Wittlich, Landkreis;2111;235;166;51;255;508;422;3,9
      Eifelkreis Bitburg-Prüm;1471;133;93;41;201;275;303;3,2
      Vulkaneifel, Landkreis;1394;87;89;23;152;338;484;4,8
      Trier-Saarburg, Landkreis;2567;260;205;69;344;511;598;3,6
    Rheinhessen-Pfalz, Stat. Region;60389;10962;3606;1370;6611;11077;20283;.
      Frankenthal (Pfalz), Kreisfreie Stadt;1617;368;86;38;183;256;619;7,6
      Kaiserslautern, Kreisfreie Stadt;5225;749;304;115;529;953;2083;11,5
      Landau in der Pfalz, Kreisfreie Stadt;1091;176;64;21;104;214;325;5,3
      Ludwigshafen am Rhein, Kreisfreie Stadt;7546;2515;370;165;761;1001;3108;10,4
      Mainz, Kreisfreie Stadt;6216;2036;345;123;535;893;2066;6,5
      Neustadt an der Weinstraße, Kreisfreie Stadt;1588;192;98;32;162;268;551;6,5
      Pirmasens, Kreisfreie Stadt;2688;257;152;86;332;442;1029;14,6
      Speyer, Kreisfreie Stadt;1670;387;96;44;179;275;689;7,1
      Worms, Kreisfreie Stadt;3392;728;173;92;419;536;1161;8,8
      Zweibrücken, Kreisfreie Stadt;1302;138;82;27;140;272;437;8,2
      Alzey-Worms, Landkreis;3060;408;180;68;372;625;833;5,1
      Bad Dürkheim, Landkreis;2748;306;191;56;273;586;797;4,5
      Donnersbergkreis;2168;223;155;43;242;499;697;6
      Germersheim, Landkreis;3080;570;188;79;375;588;792;4,9
      Kaiserslautern, Landkreis;2939;260;218;63;350;631;974;6
      Kusel, Landkreis;1954;96;143;41;254;535;567;5,7
      Südliche Weinstraße, Landkreis;2212;219;151;44;239;476;654;4,3
      Rhein-Pfalz-Kreis;2911;525;175;60;327;565;1094;4
      Mainz-Bingen, Landkreis;4583;701;228;117;548;846;1157;4,7
      Südwestpfalz, Landkreis;2400;107;208;55;289;616;653;5,1
  Baden-Württemberg;222196;55249;17162;3226;19095;46866;66699;4,4
    Stuttgart, Regierungsbezirk;84939;24586;5928;1192;7080;18193;26440;.
      Stuttgart, Landeshauptstadt, Kreisfreie Stadt;16625;6484;899;190;1108;2868;5675;6,2
      Böblingen, Landkreis;7051;2254;434;76;508;1561;2079;4
      Esslingen, Landkreis;10013;3064;704;164;867;2054;3408;4,1
      Göppingen, Landkreis;5392;1431;445;97;569;1288;1358;4,6
      Ludwigsburg, Landkreis;10422;3213;792;149;898;2355;3099;4,2
      Rems-Murr-Kreis;8419;2532;524;88;634;1837;2646;4,3
      Heilbronn, Kreisfreie Stadt;3766;1304;293;60;327;677;1080;6,7
      Heilbronn, Landkreis;6333;1460;504;96;585;1368;1900;3,9
      Hohenlohekreis;1808;258;158;28;165;460;528;3,3
      Schwäbisch Hall, Landkreis;3337;460;307;62;360;754;872;3,6
      Main-Tauber-Kreis;2421;312;357;37;222;625;823;3,8
      Heidenheim, Landkreis;3227;661;232;48;273;829;1068;5,3
      Ostalbkreis;6125;1155;280;97;565;1518;1906;4,2
    Karlsruhe, Regierungsbezirk;61830;15093;5581;928;5358;12440;19639;.
      Baden-Baden, Kreisfreie Stadt;1438;439;98;21;95;351;585;6,1
      Karlsruhe, Kreisfreie Stadt;8423;2200;581;147;666;1382;2720;6,3
      Karlsruhe, Landkreis;7338;1467;654;135;787;1621;1821;3,5
      Rastatt, Landkreis;4440;930;400;97;458;1138;1209;3,9
      Heidelberg, Kreisfreie Stadt;3465;825;285;44;254;576;1186;5,9
      Mannheim, Universitätsstadt, Kreisfreie Stadt;9287;3212;858;54;403;1499;3534;6,8
      Neckar-Odenwald-Kreis;3033;397;419;58;315;713;1079;4,4
      Rhein-Neckar-Kreis;11412;2422;1197;147;1039;2304;3388;4,6
      Pforzheim, Kreisfreie Stadt;4605;1593;291;75;429;785;1631;8,6
      Calw, Landkreis;3118;651;287;57;325;735;980;4,3
      Enzkreis;2760;569;217;54;324;659;741;3
      Freudenstadt, Landkreis;2512;388;296;39;262;676;765;4,3
    Freiburg, Regierungsbezirk;43428;8776;3244;618;3628;9232;11743;.
      Freiburg im Breisgau, Kreisfreie Stadt;6324;1587;396;43;269;1071;1828;6,5
      Breisgau-Hochschwarzwald, Landkreis;4360;694;381;54;320;981;1151;3,7
      Emmendingen, Landkreis;2580;439;205;42;253;547;525;3,3
      Ortenaukreis;8358;1451;538;101;707;1931;2459;4
      Rottweil, Landkreis;2324;431;225;54;249;481;631;3,4
      Schwarzwald-Baar-Kreis;3963;873;383;82;424;824;1075;4
      Tuttlingen, Landkreis;2118;463;192;27;184;454;532;3,2
      Konstanz, Landkreis;6057;1268;449;108;547;1362;1626;4,7
      Lörrach, Landkreis;4580;999;313;59;392;954;1316;4,1
      Waldshut, Landkreis;2766;572;163;49;283;629;601;3,4
    Tübingen, Regierungsbezirk;31999;6794;2409;487;3028;7002;8877;.
      Reutlingen, Landkreis;5724;1626;395;83;496;1092;1928;4,3
